Order,Name,Color,Latitude,Longitude,Description,Thumb_URL,Website_URL,Visits
1,Great Smoky Mountains,R,35.602035,-83.466217,"World renowned for its diversity of plant and animal life, the beauty of its mountains, and its Southern Appalachian mountain culture, this is America's most visited national park.",http://downloads.esri.com/agol/pub/npstop102012/graphics/grsm.jpg,http://www.nps.gov/grsm/index.htm,"9,685,829"
2,Grand Canyon,R,36.073945,-112.139855,"A powerful and inspiring landscape, Grand Canyon overwhelms our senses through its immense size.",http://downloads.esri.com/agol/pub/npstop102012/graphics/grca.jpg,http://www.nps.gov/grca/index.htm,"4,421,352"
3,Yosemite,R,37.784439,-119.554625,"Not just a great valley, but a shrine to human foresight, the strength of granite, the power of glaciers, the persistence of life, and the tranquility of the High Sierra.",http://downloads.esri.com/agol/pub/npstop102012/graphics/yose.jpg,http://www.nps.gov/yose/index.htm,"3,853,404"
4,Yellowstone,R,44.573079,-110.393693,Old Faithful and the majority of the world's geysers are preserved here. They are the main reason the park was established in 1872 as America's first national park.,http://downloads.esri.com/agol/pub/npstop102012/graphics/yell.jpg,http://www.nps.gov/yell/index.htm,"3,447,729"
5,Rocky Mountain,R,40.352362,-105.691048,Rocky Mountain National Park's 415 square miles encompass and protect spectacular mountain environments.,http://downloads.esri.com/agol/pub/npstop102012/graphics/romo.jpg,http://www.nps.gov/romo/index.htm,"3,229,617"
6,Zion,R,37.319783,-113.027435,"Zion's unique array of sandstone cliffs, slot canyons, plants and animals will enchant you as you absorb the rich history of the past and enjoy the excitement of present day adventures.",http://downloads.esri.com/agol/pub/npstop102012/graphics/zion.jpg,http://www.nps.gov/zion/index.htm,"2,973,607"
7,Olympic,R,47.792724,-123.546132,A day's exploration can take you from breathtaking mountain vistas with meadows of wildflowers to colorful ocean tidepools. Nestled in the valleys are some of the largest remnants of ancient forests left in the country.,http://downloads.esri.com/agol/pub/npstop102012/graphics/olym.jpg,http://www.nps.gov/olym/index.htm,"2,824,908"
8,Grand Teton,R,43.832398,-110.682516,"Rising above a scene rich with extraordinary wildlife, pristine lakes, and alpine terrain, the Teton Range stands as a monument to the people who fought to protect it.",http://downloads.esri.com/agol/pub/npstop102012/graphics/grte.jpg,http://www.nps.gov/grte/index.htm,"2,705,256"
9,Acadia,R,44.353168,-68.22791,"People have been drawn to the rugged coast of Maine throughout history. Awed by its beauty and diversity, early 20th-century visionaries donated the land that became Acadia National Park.",http://downloads.esri.com/agol/pub/npstop102012/graphics/acad.jpg,http://www.nps.gov/acad/index.htm,"2,431,052"
10,Cuyahoga Valley,R,41.241682,-81.549841,"Though a short distance from the urban areas of Cleveland and Akron, Cuyahoga Valley National Park seems worlds away. The park is a refuge for native plants and wildlife, and provides routes of discovery for visitors.",http://downloads.esri.com/agol/pub/npstop102012/graphics/cuva.jpg,http://www.nps.gov/cuva/index.htm,"2,299,722"
